segment,from,to,text
96,00:03:16.000,00:03:18.000,然後是我同事做的
97,00:03:18.000,00:03:20.000,然後我們主要這次是做
98,00:03:20.000,00:03:22.000,因為我們知道新聞
99,00:03:22.000,00:03:24.000,所以我們這次的資料
100,00:03:24.000,00:03:26.000,是based on我們找了
101,00:03:26.000,00:03:28.000,近一年的裁判書裡面
102,00:03:28.000,00:03:30.000,有提到性騷擾法
103,00:03:30.000,00:03:32.000,或者是
104,00:03:32.000,00:03:34.000,刑法第二二八條
105,00:03:34.000,00:03:36.000,就是刑法
106,00:03:36.000,00:03:38.000,妨害性自主張從第二百二十一條
107,00:03:38.000,00:03:40.000,開始
108,00:03:40.000,00:03:42.000,他是強制性交
109,00:03:42.000,00:03:44.000,然後你入強制猥褻等
110,00:03:44.000,00:03:46.000,二二八比較特別
111,00:03:46.000,00:03:48.000,是利用權勢猥褻及性交
112,00:03:48.000,00:03:50.000,者
113,00:03:50.000,00:03:52.000,因為前兩個月的
114,00:03:52.000,00:03:54.000,事情主要是
115,00:03:54.000,00:03:56.000,這兩個就是違反
116,00:03:56.000,00:03:58.000,妨害性自主法跟
117,00:03:58.000,00:04:00.000,權勢二二八
118,00:04:00.000,00:04:02.000,的這個狀況但大家不一定都
119,00:04:02.000,00:04:04.000,走入司法程序
120,00:04:04.000,00:04:06.000,所以我們就想要知道說
121,00:04:06.000,00:04:08.000,過去已經有走入司法
122,00:04:08.000,00:04:10.000,這些程序他可能是我們目前
123,00:04:10.000,00:04:12.000,可以掌握的雖然我們知道黑數會
124,00:04:12.000,00:04:14.000,很多但就是他們的狀況是什麼
125,00:04:14.000,00:04:16.000,他們的關係是什麼他們會遇到的問題
126,00:04:16.000,00:04:18.000,是什麼他們在法律
127,00:04:18.000,00:04:20.000,實務上要訴諸
128,00:04:20.000,00:04:22.000,這個法律就職
129,00:04:22.000,00:04:24.000,途徑的時候會遇到什麼樣子
130,00:04:24.000,00:04:26.000,的事情然後可能
131,00:04:26.000,00:04:28.000,被質疑或他們要拿出什麼樣的證據
132,00:04:28.000,00:04:30.000,可能證據可能相對來說
133,00:04:30.000,00:04:32.000,矩陣困難就等等的所以我們
134,00:04:32.000,00:04:34.000,就想要了解這部分然後除了
135,00:04:34.000,00:04:36.000,採訪受騷擾者以外
136,00:04:36.000,00:04:38.000,也會採訪
137,00:04:38.000,00:04:40.000,律師法官
138,00:04:40.000,00:04:42.000,預計希望
139,00:04:42.000,00:04:44.000,也可以放心理事
140,00:04:44.000,00:04:46.000,對
141,00:04:46.000,00:04:48.000,然後
142,00:04:48.000,00:04:50.000,所以
143,00:04:50.000,00:04:52.000,對所以第一
144,00:04:52.000,00:04:54.000,我要先確認的事情
145,00:04:54.000,00:04:56.000,是你的
146,00:04:56.000,00:04:58.000,你後來跟律師
147,00:04:58.000,00:05:00.000,決定的提告罪名
148,00:05:00.000,00:05:02.000,是什麼
149,00:05:02.000,00:05:04.000,我應該不是說跟律師
150,00:05:04.000,00:05:06.000,我是說
151,00:05:06.000,00:05:08.000,討論就是你們
152,00:05:08.000,00:05:10.000,因為因為有蠻多條
153,00:05:10.000,00:05:12.000,跟就是性騷擾
154,00:05:12.000,00:05:14.000,我只是好奇說最後你們
155,00:05:14.000,00:05:16.000,提告就是他給
156,00:05:16.000,00:05:18.000,你的建議或是你後來考量一下
157,00:05:18.000,00:05:20.000,你的提告是什麼
158,00:05:20.000,00:05:22.000,我後來
159,00:05:22.000,00:05:24.000,我就是
160,00:05:24.000,00:05:26.000,我根本就不知道我告了
161,00:05:26.000,00:05:28.000,什麼然後我就告了
162,00:05:28.000,00:05:30.000,我可能要我是要找什麼書
163,00:05:30.000,00:05:32.000,才可以找得到
164,00:05:32.000,00:05:34.000,所以
165,00:05:34.000,00:05:36.000,提告訴狀是他
166,00:05:36.000,00:05:38.000,幫你
167,00:05:38.000,00:05:40.000,還是因為你們都是非高
168,00:05:40.000,00:05:42.000,素乃論所以
169,00:05:42.000,00:05:44.000,直接
170,00:05:44.000,00:05:46.000,我去警察局做比度
171,00:05:46.000,00:05:48.000,然後他在錄影過程
172,00:05:48.000,00:05:50.000,就問我你要提告嗎
173,00:05:50.000,00:05:52.000,我就說我要提告
174,00:05:52.000,00:05:54.000,我不是這樣我忘記了
175,00:05:54.000,00:05:56.000,所以那律師
176,00:05:56.000,00:05:58.000,完全沒有跟你討論到說
177,00:05:58.000,00:06:00.000,就是可能
178,00:06:00.000,00:06:02.000,後來例如檢方
179,00:06:02.000,00:06:04.000,可能會希望以什麼樣的罪名
180,00:06:04.000,00:06:06.000,的時候
181,00:06:06.000,00:06:08.000,你可以討論
182,00:06:08.000,00:06:10.000,你希望以什麼樣的罪名
183,00:06:10.000,00:06:12.000,控告他就這不罪名
184,00:06:12.000,00:06:14.000,這部分幾乎都沒有討論到
185,00:06:14.000,00:06:16.000,完全沒有
186,00:06:16.000,00:06:18.000,那有可能
187,00:06:18.000,00:06:20.000,是強制刑交我
188,00:06:20.000,00:06:22.000,猜哪個我猜
189,00:06:22.000,00:06:24.000,那我再找
190,00:06:24.000,00:06:26.000,我的起訴書包裡面
191,00:06:26.000,00:06:28.000,有寫
192,00:06:28.000,00:06:30.000,我覺得可以看一下
193,00:06:30.000,00:06:32.000,然後起訴
194,00:06:32.000,00:06:34.000,書我想一下
195,00:06:34.000,00:06:38.000,你的起訴書會有
196,00:06:38.000,00:06:40.000,起訴書的
197,00:06:40.000,00:06:42.000,號碼嗎
198,00:06:42.000,00:06:44.000,起訴書
199,00:06:44.000,00:06:46.000,對的起訴書
200,00:06:46.000,00:06:48.000,我認真看
201,00:06:48.000,00:06:50.000,好因為通常
202,00:06:50.000,00:06:52.000,會有暗號不是那個
203,00:06:52.000,00:06:54.000,暗號是
204,00:06:54.000,00:06:58.000,我在看客
205,00:06:58.000,00:07:00.000,拿我
206,00:07:00.000,00:07:02.000,好
207,00:07:02.000,00:07:10.000,示範刑法第二
208,00:07:10.000,00:07:12.000,一條第一項強制刑交罪
209,00:07:12.000,00:07:16.000,同法第二
210,00:07:16.000,00:07:18.000,四條強制猥褻罪
211,00:07:18.000,00:07:22.000,然後
212,00:07:22.000,00:07:24.000,是一
213,00:07:24.000,00:07:26.000,他寫一刑是訴訟
214,00:07:26.000,00:07:28.000,法第二五一條
215,00:07:28.000,00:07:30.000,第一項提起公訴
216,00:07:30.000,00:07:32.000,因為他是非告
217,00:07:32.000,00:07:34.000,那一條是非告訴哪一論
218,00:07:34.000,00:07:36.000,然後
219,00:07:36.000,00:07:42.000,後面他就附了一下2124
220,00:07:42.000,00:07:44.000,在法條他寫什麼
221,00:07:44.000,00:07:46.000,對
222,00:07:46.000,00:07:48.000,我的我應該是有
223,00:07:48.000,00:07:50.000,有那個
224,00:07:50.000,00:07:52.000,電子檔
225,00:07:52.000,00:07:54.000,就是這個
226,00:07:54.000,00:07:56.000,二二一年度
227,00:07:56.000,00:07:58.000,真字
228,00:07:58.000,00:08:00.000,第七204
229,00:08:00.000,00:08:04.000,一一二年
230,00:08:04.000,00:08:06.000,真哪個真
231,00:08:06.000,00:08:12.000,真
232,00:08:12.000,00:08:18.000,真查的真吧
233,00:08:18.000,00:08:20.000,真字底
234,00:08:20.000,00:08:22.000,字
235,00:08:22.000,00:08:24.000,字數字名字的字
236,00:08:24.000,00:08:26.000,嗯第一
237,00:08:26.000,00:08:28.000,第七204
238,00:08:28.000,00:08:30.000,好難懂
239,00:08:30.000,00:08:32.000,不會不會
240,00:08:32.000,00:08:34.000,看一下
241,00:08:34.000,00:08:36.000,我只是想說我可不可以上網
242,00:08:36.000,00:08:38.000,找到但目前好像
243,00:08:38.000,00:08:40.000,看起來還沒有
244,00:08:40.000,00:08:42.000,起訴書不知道可不可以
245,00:08:42.000,00:08:44.000,一般來說好像是
246,00:08:44.000,00:08:46.000,有進到法院了
247,00:08:46.000,00:08:48.000,然後
248,00:08:48.000,00:08:50.000,裁判書就會有一個
249,00:08:50.000,00:08:52.000,連結可以一路連到
250,00:08:52.000,00:08:54.000,起訴書
251,00:08:54.000,00:08:56.000,但是目前還沒有看到
252,00:08:56.000,00:08:58.000,那我問一下你目前
253,00:08:58.000,00:09:00.000,就是開了幾次庭
254,00:09:00.000,00:09:02.000,然後
255,00:09:02.000,00:09:04.000,對開了幾次庭
256,00:09:04.000,00:09:06.000,我想一下
257,00:09:06.000,00:09:08.000,應該是三次吧
258,00:09:08.000,00:09:10.000,然後都是偵查庭
259,00:09:10.000,00:09:12.000,還是
260,00:09:12.000,00:09:14.000,然後還有去測謊
261,00:09:14.000,00:09:18.000,三次
262,00:09:18.000,00:09:20.000,偵查庭
263,00:09:20.000,00:09:22.000,一次測謊
264,00:09:22.000,00:09:24.000,偵查庭各自在哪些
265,00:09:24.000,00:09:26.000,地方
266,00:09:26.000,00:09:28.000,然後我起來寫
267,00:09:28.000,00:09:30.000,第一次是在
268,00:09:30.000,00:09:34.000,我那個時候
269,00:09:34.000,00:09:36.000,很焦慮耶
270,00:09:36.000,00:09:38.000,一次是三月
271,00:09:38.000,00:09:40.000,三月
272,00:09:40.000,00:09:42.000,三月九號
273,00:09:42.000,00:09:46.000,在第一次
274,00:09:46.000,00:09:48.000,跟徐雪安雲正在
275,00:09:48.000,00:09:50.000,台北吧
276,00:09:50.000,00:09:52.000,國外路
277,00:09:52.000,00:09:54.000,然後第二次
278,00:09:54.000,00:09:56.000,在
279,00:09:56.000,00:10:00.000,四零
280,00:10:00.000,00:10:02.000,是
281,00:10:02.000,00:10:04.000,三月十六號
282,00:10:04.000,00:10:08.000,然後第三次好像
283,00:10:08.000,00:10:10.000,滿近在土城吧
284,00:10:10.000,00:10:12.000,在土城是
285,00:10:12.000,00:10:14.000,四月
286,00:10:14.000,00:10:16.000,四月
287,00:10:16.000,00:10:22.000,怎麼會寫到
288,00:10:22.000,00:10:24.000,在四月多
289,00:10:24.000,00:10:26.000,還是五月
290,00:10:26.000,00:10:28.000,然後在
291,00:10:28.000,00:10:30.000,五月二十三號
292,00:10:30.000,00:10:36.000,五月二十三號
293,00:10:36.000,00:10:38.000,所以到五月二十三的時候就已經
294,00:10:38.000,00:10:40.000,病案處理了嗎
295,00:10:40.000,00:10:42.000,因為我印象中三月九號跟三月十六號
296,00:10:42.000,00:10:44.000,都沒有病案處理
297,00:10:44.000,00:10:46.000,所以那五月二十三
298,00:10:46.000,00:10:48.000,是博愛路
299,00:10:48.000,00:10:50.000,的第二次還是四零
300,00:10:50.000,00:10:52.000,的第二次
301,00:10:52.000,00:10:54.000,我看一下喔
302,00:10:54.000,00:10:56.000,我
303,00:10:56.000,00:10:58.000,你在說一次
304,00:10:58.000,00:11:00.000,五月二十三號
305,00:11:00.000,00:11:02.000,是在土城
306,00:11:02.000,00:11:04.000,對我的意思是說
307,00:11:04.000,00:11:06.000,因為我印象中
308,00:11:06.000,00:11:08.000,你的案子是分兩個案子
309,00:11:08.000,00:11:10.000,他們全部都是
310,00:11:10.000,00:11:12.000,三個全部都是第一次
311,00:11:12.000,00:11:14.000,喔
312,00:11:14.000,00:11:16.000,好了解
313,00:11:16.000,00:11:18.000,那我來看一下
314,00:11:18.000,00:11:20.000,你的
315,00:11:20.000,00:11:22.000,等一下我看一下
316,00:11:22.000,00:11:24.000,欸我是放在哪裡
317,00:11:24.000,00:11:26.000,桌面是不是
318,00:11:26.000,00:11:28.000,小鬧場
319,00:11:28.000,00:11:30.000,啊在這裡
320,00:11:30.000,00:11:32.000,那我就來問
321,00:11:32.000,00:11:34.000,問一下因為目前都是
322,00:11:34.000,00:11:36.000,偵查廳所以
323,00:11:36.000,00:11:38.000,我也對這點
324,00:11:38.000,00:11:40.000,確定因為
325,00:11:40.000,00:11:42.000,偵查廳會有哪一些人
326,00:11:42.000,00:11:46.000,偵查廳
327,00:11:46.000,00:11:48.000,會有
328,00:11:48.000,00:11:50.000,呃
329,00:11:50.000,00:11:52.000,我跟我的
330,00:11:52.000,00:11:54.000,我的社工陪我然後
331,00:11:54.000,00:11:56.000,會有
332,00:11:56.000,00:11:58.000,檢察官跟一個
333,00:11:58.000,00:12:00.000,紀錄的紀錄的叫什麼
334,00:12:00.000,00:12:02.000,書記官嗎
335,00:12:02.000,00:12:04.000,你的
336,00:12:04.000,00:12:06.000,對書記官喔所以整個
337,00:12:06.000,00:12:08.000,場就是
338,00:12:08.000,00:12:10.000,社工
339,00:12:10.000,00:12:12.000,書記官你
340,00:12:12.000,00:12:14.000,還有檢察官
341,00:12:14.000,00:12:18.000,喔好
342,00:12:18.000,00:12:20.000,你的這三個檢察官我可以問一下
343,00:12:20.000,00:12:22.000,性各自的性別
344,00:12:22.000,00:12:24.000,跟你目測
345,00:12:24.000,00:12:26.000,看起來的年齡嗎
346,00:12:26.000,00:12:30.000,可以啊第一個
347,00:12:30.000,00:12:32.000,是女的
348,00:12:32.000,00:12:34.000,女生書記官女生法官
349,00:12:34.000,00:12:36.000,然後
350,00:12:36.000,00:12:38.000,看起來還年輕的
351,00:12:38.000,00:12:40.000,不到三十前
352,00:12:40.000,00:12:42.000,二十五到三十五
353,00:12:42.000,00:12:46.000,女生書記官跟女生檢察官
354,00:12:46.000,00:12:48.000,你跟他說法官
355,00:12:48.000,00:12:50.000,檢察官喔對對對
356,00:12:50.000,00:12:52.000,檢察官
357,00:12:52.000,00:12:54.000,需要
358,00:12:54.000,00:12:56.000,那個經過
359,00:12:56.000,00:12:58.000,的描述嗎
360,00:12:58.000,00:13:00.000,我等一下一起問我想說我先
361,00:13:00.000,00:13:02.000,把這個資訊確認
362,00:13:02.000,00:13:04.000,然後第二次是
363,00:13:04.000,00:13:06.000,一個男生
364,00:13:06.000,00:13:08.000,好像
365,00:13:08.000,00:13:10.000,男生檢察官
366,00:13:10.000,00:13:12.000,書記官忘記了
367,00:13:12.000,00:13:14.000,然後他是一個
368,00:13:14.000,00:13:16.000,看起來像是一個
369,00:13:16.000,00:13:18.000,爸爸所以我
370,00:13:18.000,00:13:20.000,猜他應該是
371,00:13:20.000,00:13:22.000,四五十歲
372,00:13:22.000,00:13:26.000,土城的然後
373,00:13:26.000,00:13:28.000,第三個是
374,00:13:28.000,00:13:30.000,女生
375,00:13:30.000,00:13:32.000,檢察官書記官也忘了
376,00:13:32.000,00:13:34.000,然後
377,00:13:34.000,00:13:36.000,是也是
378,00:13:36.000,00:13:38.000,差不多二五到三五
379,00:13:38.000,00:13:40.000,嗯好
380,00:13:40.000,00:13:44.000,好那我們就來問一下
381,00:13:44.000,00:13:46.000,我先問
382,00:13:46.000,00:13:48.000,因為我印象中
383,00:13:48.000,00:13:50.000,其實是五次
384,00:13:50.000,00:13:52.000,所以這三次各自是
385,00:13:52.000,00:13:54.000,就是這三個偵查庭各自
386,00:13:54.000,00:13:56.000,是處理哪一些
387,00:13:56.000,00:13:58.000,部分的案件
388,00:13:58.000,00:14:00.000,你說什麼什麼是五次
389,00:14:00.000,00:14:02.000,嗯
390,00:14:02.000,00:14:04.000,我印象中你那時候
391,00:14:04.000,00:14:06.000,話的時候有跟我說有
392,00:14:06.000,00:14:08.000,五個時間點
393,00:14:08.000,00:14:10.000,喔
394,00:14:10.000,00:14:12.000,但上面寫的是三個對不對
395,00:14:12.000,00:14:14.000,我現在
396,00:14:14.000,00:14:16.000,看你的幾百
397,00:14:16.000,00:14:18.000,狼故事
398,00:14:18.000,00:14:20.000,三個
399,00:14:20.000,00:14:22.000,應該說五個點
400,00:14:22.000,00:14:24.000,是就三三次是
401,00:14:24.000,00:14:26.000,性侵然後兩次性
402,00:14:26.000,00:14:28.000,騷擾
403,00:14:28.000,00:14:30.000,欸那所以有點像你的
404,00:14:30.000,00:14:32.000,性騷擾
405,00:14:32.000,00:14:34.000,是包含在這
406,00:14:34.000,00:14:36.000,三次性侵裡面還是
407,00:14:36.000,00:14:38.000,另外
408,00:14:38.000,00:14:40.000,就是我看第一個
409,00:14:40.000,00:14:42.000,起訴書他就有寫到
410,00:14:42.000,00:14:44.000,有
411,00:14:44.000,00:14:48.000,強強制性
412,00:14:48.000,00:14:50.000,交罪跟
413,00:14:50.000,00:14:52.000,強制猥褻罪
414,00:14:52.000,00:14:54.000,所以好像應該是有把它分開
415,00:14:54.000,00:14:56.000,喔
416,00:14:56.000,00:15:00.000,就是他有把這
417,00:15:00.000,00:15:02.000,兩個行為分開
418,00:15:02.000,00:15:04.000,但就是計算的是你
419,00:15:04.000,00:15:06.000,幾百狼故事裡面
420,00:15:06.000,00:15:08.000,寫的2018年8月8號
421,00:15:08.000,00:15:10.000,的那個事件
422,00:15:10.000,00:15:14.000,嗯不是
423,00:15:14.000,00:15:16.000,他的
424,00:15:16.000,00:15:18.000,強制猥褻是
425,00:15:18.000,00:15:20.000,3月在樂草店
426,00:15:20.000,00:15:22.000,有目擊證人
427,00:15:22.000,00:15:24.000,應該是
428,00:15:24.000,00:15:26.000,應該是那個
429,00:15:26.000,00:15:30.000,等我一下喔
430,00:15:30.000,00:15:32.000,Google熱草
431,00:15:32.000,00:15:42.000,熱草熱草熱草在哪裡
432,00:15:42.000,00:15:46.000,熱草在第幾頁啊
433,00:15:46.000,00:15:48.000,我看
434,00:15:48.000,00:15:50.000,好
435,00:15:50.000,00:15:52.000,嗯
436,00:15:52.000,00:15:54.000,熱草在
437,00:15:54.000,00:15:56.000,很後面
438,00:15:56.000,00:15:58.000,嗯
439,00:15:58.000,00:16:02.000,最後一頁吧
440,00:16:02.000,00:16:04.000,喔慶功宴
441,00:16:04.000,00:16:06.000,嗯嗯
442,00:16:06.000,00:16:08.000,欸所以喔
443,00:16:08.000,00:16:10.000,所以他就完全是分
444,00:16:10.000,00:16:12.000,地點
445,00:16:12.000,00:16:14.000,他原本出
446,00:16:14.000,00:16:16.000,一開始是想要分地點
447,00:16:16.000,00:16:18.000,嗯但是因為
448,00:16:18.000,00:16:20.000,我在講我在
449,00:16:20.000,00:16:22.000,敘述的時候我是
450,00:16:22.000,00:16:24.000,全講
451,00:16:24.000,00:16:26.000,所以就變成三個
452,00:16:26.000,00:16:28.000,檢察官就各自找他們
453,00:16:28.000,00:16:30.000,覺得有辦法辦的事件
454,00:16:30.000,00:16:32.000,然後去辦
455,00:16:32.000,00:16:34.000,他們都會覺得
456,00:16:34.000,00:16:36.000,就是在
457,00:16:36.000,00:16:38.000,有目擊證人的
458,00:16:38.000,00:16:40.000,那兩次一次在景美
459,00:16:40.000,00:16:42.000,一次在熱草店
460,00:16:42.000,00:16:44.000,的這兩件事情
461,00:16:44.000,00:16:46.000,是就是
462,00:16:46.000,00:16:48.000,有可能就是
463,00:16:48.000,00:16:50.000,成功辦成功的
464,00:16:50.000,00:16:52.000,就是應該說
465,00:16:52.000,00:16:54.000,他是證據比較多的
466,00:16:54.000,00:16:56.000,所以他們就會
467,00:16:56.000,00:16:58.000,主要往這兩個
468,00:16:58.000,00:17:00.000,事情去辦然後其
469,00:17:00.000,00:17:02.000,其他的就是
470,00:17:02.000,00:17:04.000,會
471,00:17:04.000,00:17:06.000,問到
472,00:17:06.000,00:17:08.000,嗯嗯嗯
473,00:17:08.000,00:17:10.000,喔所以
474,00:17:10.000,00:17:12.000,你剛才說他們幾乎
475,00:17:12.000,00:17:14.000,都會找有目擊證人的
476,00:17:14.000,00:17:16.000,去辦然後可能是
477,00:17:16.000,00:17:18.000,公園那次跟熱草店
478,00:17:18.000,00:17:20.000,那次會是他們
479,00:17:20.000,00:17:22.000,是在景美
480,00:17:22.000,00:17:24.000,最後面店
481,00:17:24.000,00:17:26.000,那邊口角被同學
482,00:17:26.000,00:17:28.000,看到
483,00:17:28.000,00:17:30.000,主要這兩次
484,00:17:30.000,00:17:32.000,比較
485,00:17:32.000,00:17:34.000,就是那我想問
486,00:17:34.000,00:17:36.000,這是所以
487,00:17:36.000,00:17:38.000,第一個問題是所以
488,00:17:38.000,00:17:40.000,他們三個其實
489,00:17:40.000,00:17:42.000,會
490,00:17:42.000,00:17:44.000,處理到重複的事情嗎
491,00:17:44.000,00:17:46.000,就變成說你同樣一件事
492,00:17:46.000,00:17:48.000,要被問三次
493,00:17:48.000,00:17:50.000,對
494,00:17:50.000,00:17:52.000,嗯
495,00:17:52.000,00:17:56.000,然後有可能你第一次
496,00:17:56.000,00:17:58.000,去完以後你第二次
497,00:17:58.000,00:18:00.000,如果他們剛好找到差不多
498,00:18:00.000,00:18:02.000,證據你又要再回答
499,00:18:02.000,00:18:04.000,一輪重複的問題
500,00:18:04.000,00:18:06.000,三次
501,00:18:06.000,00:18:08.000,就我三次開庭都像是
502,00:18:08.000,00:18:10.000,在做同一件事
503,00:18:10.000,00:18:12.000,好像是去面試三個公
504,00:18:12.000,00:18:14.000,啊
505,00:18:14.000,00:18:16.000,看誰要錄用你
506,00:18:16.000,00:18:18.000,誰要幫你
507,00:18:18.000,00:18:20.000,而且他們看到的重點又不太
508,00:18:20.000,00:18:22.000,一樣喔例如例如
509,00:18:22.000,00:18:24.000,好那我問一下我雖然
510,00:18:24.000,00:18:26.000,這會是重複的我本來以為會分
511,00:18:26.000,00:18:28.000,地點或是分不同案件但我就
512,00:18:28.000,00:18:30.000,也給一個問好了如果你有印象
513,00:18:30.000,00:18:32.000,就說有印象沒印象沒關係
514,00:18:32.000,00:18:34.000,嗯那像第一個就是
515,00:18:34.000,00:18:36.000,第一個呃女書記
516,00:18:36.000,00:18:38.000,官女法官然後是你
517,00:18:38.000,00:18:40.000,第一次開庭所以印象也
518,00:18:40.000,00:18:42.000,可能會比較深那個時候
519,00:18:42.000,00:18:44.000,嗯
520,00:18:44.000,00:18:46.000,他主要有就是你
521,00:18:46.000,00:18:48.000,敘述了你的受騷擾
522,00:18:48.000,00:18:50.000,跟受性侵的這些事件以後
523,00:18:50.000,00:18:52.000,他有問你哪些東西或是
524,00:18:52.000,00:18:54.000,他有哪些東西有要求
525,00:18:54.000,00:18:56.000,你要證據然後他有提問
526,00:18:56.000,00:18:58.000,哪一些問題
527,00:18:58.000,00:19:00.000,哇好難喔
528,00:19:00.000,00:19:02.000,不會不會
529,00:19:02.000,00:19:04.000,我回想一下那時候
530,00:19:04.000,00:19:06.000,那時候我就我記得因為
531,00:19:06.000,00:19:08.000,很緊張所以我就拿著紙他
532,00:19:08.000,00:19:10.000,有要求我不要看那張紙我就沒有
533,00:19:10.000,00:19:12.000,好就拿著然後
534,00:19:12.000,00:19:14.000,他就問
535,00:19:14.000,00:19:16.000,我這他就是
536,00:19:16.000,00:19:18.000,就一些
537,00:19:18.000,00:19:20.000,一些
538,00:19:20.000,00:19:22.000,他覺得是重點的問像是
539,00:19:22.000,00:19:26.000,過程
540,00:19:26.000,00:19:28.000,就是我有沒有
541,00:19:28.000,00:19:30.000,我有沒有說
542,00:19:30.000,00:19:32.000,不要或是退開或是
543,00:19:32.000,00:19:34.000,這些動作
544,00:19:34.000,00:19:36.000,然後
545,00:19:36.000,00:19:38.000,還有
546,00:19:38.000,00:19:42.000,還有知道的人
547,00:19:42.000,00:19:44.000,他們都會問有誰知道
548,00:19:44.000,00:19:46.000,然後這樣他們才有辦法
